gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison
Grn	784.2240666917279	-1.3628653179685737	0.08545773988170055	-15.947827778445731	2.9497987905935603e-57	5.181026595798529e-53	ghko_vs_het
Pvrl1	1055.4566988283175	0.45711094416869846	0.05853044262675657	7.809798177738964	5.7279632475731305e-15	5.030297324018723e-11	ghko_vs_het
Apoa1	19.998370477711994	0.7162190930314951	0.11066629875474283	6.471880790183199	9.679047391731668e-11	3.4599577416710946e-7	ghko_vs_het
Gc	9.836840763204968	0.5769520294472145	0.08884022484948774	6.494265749829889	8.343934763899206e-11	3.4599577416710946e-7	ghko_vs_het
Ahsg	10.888235015041191	0.5666146717252978	0.0875859441667285	6.469242035533586	9.849572254814092e-11	3.4599577416710946e-7	ghko_vs_het
Cbln1	221.46179634744806	0.884735211151021	0.13789810258963633	6.415862107862773	1.4002815080480513e-10	4.099090734559329e-7	ghko_vs_het
Apoa2	26.804404187777383	0.7688712290223781	0.12829871047378077	5.992821176324335	2.062315909083661e-9	4.527814578393178e-6	ghko_vs_het
Fgb	6.868651061554434	0.5142765797805313	0.08554439849633819	6.011808941558522	1.8346447232620055e-9	4.527814578393178e-6	ghko_vs_het
Serpina1b	9.924798506906006	0.5000007300463312	0.08608099785740382	5.808491333646014	6.303829205516449e-9	1.2302272907298992e-5	ghko_vs_het
Ier2	382.1651794317985	-0.78354984808814	0.13575799226910115	-5.771666441081258	7.849137524545604e-9	1.37862251481119e-5	ghko_vs_het
Csrnp1	309.5168386534509	-0.7251529955594634	0.1284361573209226	-5.6460190859457775	1.6420562415547152e-8	2.6219159842424562e-5	ghko_vs_het
Mat1a	11.519125403705031	0.4989778704438833	0.08873089820308876	5.623496217764126	1.871308625879548e-8	2.7389720587456984e-5	ghko_vs_het
Dusp6	1369.291868897537	-0.6261697660211492	0.11471450821799362	-5.45850543011726	4.801591824902456e-8	6.487319908660518e-5	ghko_vs_het
Adh1	11.00802797649471	0.5898631430728538	0.11398398808880619	5.174964948702136	2.2795377119814241e-7	2.731180475388939e-4	ghko_vs_het
Serpina1c	4.041580866818321	0.39278522953295736	0.0759639935504081	5.170676410954005	2.3324816175605835e-7	2.731180475388939e-4	ghko_vs_het
Apob	6.618518354531764	0.4106002483613188	0.08010086558114568	5.126040091855971	2.9589962266801216e-7	3.2482381078381033e-4	ghko_vs_het
Fam13a	294.5368852287004	-0.4235542497608009	0.08297515373324092	-5.1045913228735555	3.3151015397177253e-7	3.4250849084471843e-4	ghko_vs_het
Pck1	5.207405414953939	0.38967513623620276	0.07963724783562845	4.89312660628973	9.924651527988266e-7	9.684254413199218e-4	ghko_vs_het
Trib1	677.2744299722278	-0.6349041728766643	0.1309500234752032	-4.848446422744554	1.2443212732066647e-6	0.0011502767811895716	ghko_vs_het
Apoa5	3.6097633957146718	0.344762904553145	0.0717534648434478	4.804825875730894	1.5488623999849487e-6	0.001360210959666782	ghko_vs_het
Cyp3a11	5.279320123169883	0.349491138555722	0.0739377941228035	4.726826688597866	2.280557529335858e-6	0.0019074148783454767	ghko_vs_het
Hprt	1049.123544539796	-0.5876952282133895	0.12535440178266818	-4.688269576941539	2.7552491653204447e-6	0.002199690742713104	ghko_vs_het
