gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison
Grn	784.2240666917279	-2.016187316621733	0.08149208808978842	-24.740896495378628	3.885034376001036e-135	5.81317693681035e-131	ghko_vs_wt
Tnfrsf25	240.52001116358227	-0.9411607140539396	0.1361289040894273	-6.913746352028677	4.720188501157972e-12	2.4215338904591007e-8	ghko_vs_wt
Trib1	677.2744299722278	-0.8879105482820612	0.12850108771487564	-6.909751225236315	4.8550435550205856e-12	2.4215338904591007e-8	ghko_vs_wt
Hif3a	139.72162826354588	0.93236379101412	0.1367543426039103	6.81780024868812	9.244505590275991e-12	3.458138428682491e-8	ghko_vs_wt
Ahsg	10.888235015041191	0.6139720413922776	0.09115286685558617	6.7356306232802945	1.632204544913866e-11	4.884535321109235e-8	ghko_vs_wt
Dusp6	1369.291868897537	-0.7327891901272918	0.11123316630719138	-6.587865961700274	4.4619317123812456e-11	1.112731403539343e-7	ghko_vs_wt
Arhgap27os3	8.184649061642263	0.7625977441164689	0.11707371339001825	6.513825538068978	7.326058188955072e-11	1.275506759400128e-7	ghko_vs_wt
Gc	9.836840763204968	0.6016957886114207	0.09247048329428494	6.506895683637116	7.671964736083106e-11	1.275506759400128e-7	ghko_vs_wt
Tceal5	1156.2989348018884	0.4264828108606072	0.06545320181379904	6.515843366591346	7.22823715013281e-11	1.275506759400128e-7	ghko_vs_wt
Adh1	11.00802797649471	0.7421395324615303	0.11675083369506005	6.356610132651512	2.0625458234481133e-10	3.086187315625412e-7	ghko_vs_wt
Fam46a	112.3033444089554	-0.7763767120978453	0.12331956125626725	-6.295649321071428	3.0611571760988213e-10	4.164008620542424e-7	ghko_vs_wt
Apoa1	19.998370477711994	0.7091350587898171	0.11422268945534392	6.208355469226261	5.354193270182038e-10	6.676232825144487e-7	ghko_vs_wt
Fgb	6.868651061554434	0.5303380054882832	0.08914254598328014	5.94932531529619	2.692500244230608e-9	3.09906778110943e-6	ghko_vs_wt
Arl4d	524.6308524464372	-0.7595718144253277	0.12873417410992552	-5.900312171783794	3.6281444349104377e-9	3.877708941397491e-6	ghko_vs_wt
Klf2	440.69841928958084	-0.7737215558142696	0.1347863059803679	-5.740357302521258	9.447700167875374e-9	9.424395840794614e-6	ghko_vs_wt
Dok6	56.36177178223336	-0.7704236718687776	0.13565920627013645	-5.679110862071851	1.3539670647579392e-8	1.2662130743733153e-5	ghko_vs_wt
Malat1	23570.08533320094	-0.6168774280683947	0.10883651995949013	-5.667926797898368	1.445356867177147e-8	1.27216910609245e-5	ghko_vs_wt
Serpina1b	9.924798506906006	0.5030715972706712	0.08973454641024738	5.606219871784209	2.0679323448543432e-8	1.7190262042253076e-5	ghko_vs_wt
Nr2e1	358.3469246534897	-0.48252064421541196	0.08651621762567684	-5.577227685832239	2.443819170955516e-8	1.9245719081582835e-5	ghko_vs_wt
Ier2	382.1651794317985	-0.7462380628603577	0.13424210831195604	-5.558897072193072	2.7148473019433538e-8	2.0311130089489202e-5	ghko_vs_wt
Pisd-ps1	8043.371619244894	-0.5938355794792493	0.1072661991834147	-5.536092301208963	3.0929461254007046e-8	2.196675629251758e-5	ghko_vs_wt
4933404O12Rik	332.83464004762305	0.46770831075048475	0.08459945673527107	5.528502531807495	3.2297576584601136e-8	2.196675629251758e-5	ghko_vs_wt
Gem	51.76371253518485	-0.7435904432092876	0.13578220392402607	-5.476346838686955	4.3419624871932394e-8	2.707032695661352e-5	ghko_vs_wt
Apoa2	26.804404187777383	0.7172055527922835	0.1308479649968753	5.481212893218559	4.2241979644620785e-8	2.707032695661352e-5	ghko_vs_wt
Itih4	7.8316843063252755	0.5599929680790792	0.10421840868840754	5.373263467813518	7.732421697939872e-8	4.6280090346509724e-5	ghko_vs_wt
S1pr1	2972.7479459927063	-0.4304766632929125	0.08024784797567862	-5.364339034030927	8.124617485434135e-8	4.675717362867345e-5	ghko_vs_wt
Xbp1	1446.333409189621	-0.3060399235996668	0.057705656715985466	-5.303464877038449	1.1362507397672707e-7	6.296933266347286e-5	ghko_vs_wt
Mat1a	11.519125403705031	0.48770991461477387	0.09244765726736331	5.275524864889675	1.3237666013544854e-7	7.07411416288113e-5	ghko_vs_wt
Adamts1	370.1130927496441	-0.6764568494008285	0.12907199063404715	-5.240926757833623	1.5977212678043696e-7	8.128124013847929e-5	ghko_vs_wt
Csrnp1	309.5168386534509	-0.6591756989835044	0.12586233350094517	-5.237275367841121	1.629644592765073e-7	8.128124013847929e-5	ghko_vs_wt
Pisd-ps2	1360.939515415173	-0.5700039744457753	0.10948020129466099	-5.20645712836822	1.924801378713974e-7	9.290581622482966e-5	ghko_vs_wt
Prex2	675.628190546958	-0.6147909125964899	0.11862513243137131	-5.182636259244368	2.1877143063979333e-7	1.0229615364572586e-4	ghko_vs_wt
Dok3	207.97984536631927	-0.5959021689402674	0.11516868558719963	-5.174168359237562	2.289283343330409e-7	1.0380165656440276e-4	ghko_vs_wt
Arc	9513.94360506741	-0.664701423016197	0.12882064535885762	-5.159898253610888	2.470840872807764e-7	1.0873879994065463e-4	ghko_vs_wt
Zbed6	156.9931444046174	-0.6107518115702247	0.1187253583741174	-5.144240623352551	2.6860507700583807e-7	1.1164271575662098e-4	ghko_vs_wt
Fkbp5	624.8529365497076	0.5770499742009878	0.11211984505230356	5.1467246849279515	2.6507392263083156e-7	1.1164271575662098e-4	ghko_vs_wt
