gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison
Grn	784.2240666917279	-0.6533219986574655	0.0770030968816521	-8.484360046733856	2.1690916069558883e-17	2.92480312281932e-13	het_vs_wt
Dok6	56.36177178223336	-1.0518799200936702	0.1353276173832527	-7.772840019156683	7.674564598375965e-15	5.1741914522250755e-11	het_vs_wt
Pvrl1	1055.4566988283175	-0.41575185169716683	0.05605019982443963	-7.417490981287922	1.1935981332273462e-13	5.364825742812513e-10	het_vs_wt
Tra2a	1211.414656827054	-0.4259540477823437	0.0662813065392667	-6.426458228158159	1.306112911742699e-10	4.4029066254846384e-7	het_vs_wt
Zfp369	45.898460077774885	-0.8587187367264524	0.13590050941912513	-6.318730815630084	2.6372018103832226e-10	5.926671535201229e-7	het_vs_wt
Nbeal1	92.46643425639111	-0.8437724367607213	0.13340954962909082	-6.324677949266769	2.5376126617425274e-10	5.926671535201229e-7	het_vs_wt
Prex2	675.628190546958	-0.7253529354012707	0.11871703606557939	-6.109931307589124	9.96740321983038e-10	1.7484009653070576e-6	het_vs_wt
Ccnt2	932.2022065490748	-0.45275339949507454	0.0741785830081892	-6.103559560379998	1.0373188758867146e-9	1.7484009653070576e-6	het_vs_wt
Fnbp1l	2461.259995949256	-0.4572804687409074	0.07677506023573705	-5.956106935466183	2.583173410386984e-9	3.870167807295344e-6	het_vs_wt
Ago3	93.37425050300622	-0.8029930629132711	0.13731649476008306	-5.847753864648572	4.9825507558368426e-9	6.718471439170399e-6	het_vs_wt
Dnajc1	565.0468297318508	-0.5043928675708678	0.08779200143758528	-5.745316877522836	9.1749003138488e-9	1.0309529652661435e-5	het_vs_wt
Mcf2l	4577.266715518933	-0.2808441234487826	0.0488308913068795	-5.751361810780958	8.852742636515376e-9	1.0309529652661435e-5	het_vs_wt
Tead1	287.9678190244606	-0.5121662695630927	0.0894370618934105	-5.726555174335707	1.0249043939572422e-8	1.0630623729322656e-5	het_vs_wt
Sesn3	400.57584787437594	-0.7643701658824978	0.13378857726787968	-5.713269260289906	1.108261107024886e-8	1.0674137690802544e-5	het_vs_wt
Shkbp1	450.32936626236375	-0.4025892611907736	0.07096712182338333	-5.672898249878331	1.404016297932588e-8	1.2621170507548678e-5	het_vs_wt
Slitrk1	1784.2385082824112	0.44818623837127375	0.07928198653642271	5.653065191112155	1.576114927502827e-8	1.3282708551530073e-5	het_vs_wt
Zfc3h1	932.2226258194924	-0.46385776376729654	0.08222041431156099	-5.641637392017783	1.684405498189016e-8	1.3360308080929819e-5	het_vs_wt
Zbed6	156.9931444046174	-0.6671572179005615	0.11869951000937845	-5.6205557870276754	1.9034411365632627e-8	1.4258889047455017e-5	het_vs_wt
Smg1	2250.794611619241	-0.5106919027290207	0.09171966875863753	-5.567964970228124	2.5773161939872424e-8	1.8290806084065253e-5	het_vs_wt
Trip11	282.36922021251814	-0.6462803121698227	0.11716710789003154	-5.515885164430244	3.4702881360109594e-8	2.1095905533569814e-5	het_vs_wt
Kmt2c	1355.168425071553	-0.4993524770819477	0.09063467809707079	-5.50950792308365	3.598381988075539e-8	2.1095905533569814e-5	het_vs_wt
Nktr	3405.4079016627124	-0.3941409714055529	0.07133656760587827	-5.525090211560374	3.2931635727809823e-8	2.1095905533569814e-5	het_vs_wt
Ankrd12	1056.9365714446317	-0.3475341324901154	0.06287803639808973	-5.527114910043115	3.2553975257448633e-8	2.1095905533569814e-5	het_vs_wt
Otud4	950.9248259543361	-0.43195340077208044	0.07861365138415181	-5.4946360227094155	3.9151705939390575e-8	2.1996733453614274e-5	het_vs_wt
Zdbf2	280.4915736163488	-0.6629163897650051	0.12096722728663692	-5.480132136898508	4.2500830327440474e-8	2.2041584466738744e-5	het_vs_wt
