ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
CC	GO:0034361	very-low-density lipoprotein particle	16	0.8740609534842554	2.3984204812279564	2.9077048699271704e-8	1.088752335945892e-4	9.984296213946025e-5	558	tags=44%, list=3%, signal=42%	Apoa2/Apoa1/Apoc1/Apoc3/Apob/Apoa5/Apoh
CC	GO:0034385	triglyceride-rich plasma lipoprotein particle	16	0.8740609534842554	2.3984204812279564	2.9077048699271704e-8	1.088752335945892e-4	9.984296213946025e-5	558	tags=44%, list=3%, signal=42%	Apoa2/Apoa1/Apoc1/Apoc3/Apob/Apoa5/Apoh
CC	GO:0034364	high-density lipoprotein particle	22	0.7834554321310779	2.333044514753417	2.4470668338322466e-7	4.834792296944061e-4	4.4336987239302684e-4	558	tags=32%, list=3%, signal=31%	Apoa2/Apoa1/Apoc1/Apoc3/Apob/Apoa5/Apoh
CC	GO:0042627	chylomicron	11	0.9020217209135654	2.2196152094867188	5.950769281520796e-7	9.104280993889096e-4	8.348991341452803e-4	558	tags=55%, list=3%, signal=53%	Apoa2/Apoa1/Apoc3/Apob/Apoa5/Apoh
CC	GO:0034358	plasma lipoprotein particle	29	0.7236827011038732	2.32564185176534	9.216025300659593e-7	9.104280993889096e-4	8.348991341452803e-4	558	tags=24%, list=3%, signal=23%	Apoa2/Apoa1/Apoc1/Apoc3/Apob/Apoa5/Apoh
CC	GO:1990777	lipoprotein particle	29	0.7236827011038732	2.32564185176534	9.216025300659593e-7	9.104280993889096e-4	8.348991341452803e-4	558	tags=24%, list=3%, signal=23%	Apoa2/Apoa1/Apoc1/Apoc3/Apob/Apoa5/Apoh
CC	GO:0032994	protein-lipid complex	32	0.708804381002704	2.3292246005069437	1.348543795344729e-6	0.0011841712905121548	0.0010859326351986504	558	tags=22%, list=3%, signal=21%	Apoa2/Apoa1/Apoc1/Apoc3/Apob/Apoa5/Apoh
BP	GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	43	0.6337174018901004	2.1903181041820257	3.364100353887136e-6	0.0022155404247308367	0.0020317395558344677	2193	tags=47%, list=12%, signal=41%	Cbln1/Tenm1/Cadm1/Itga4/Itgal/Tenm2/Tenm3/Tenm4/Alcam/Fat4/Igsf21/Scarf2/Cdh2/Cxadr/Nrxn1/Sele/Crb1/Nlgn1/Ptprd/Il1rapl1
BP	GO:0033555	multicellular organismal response to stress	98	0.5026969342478981	2.0088157608675816	3.759472092850994e-6	0.002230026808103385	0.0020450241512272897	2366	tags=35%, list=13%, signal=30%	Npy2r/Htr2c/Nos1/Reln/Lypd1/Cacna1e/Grik1/Asic4/Runx1/Gng7/Drd1/Tac1/Esr2/Prkcg/Adra2a/Gabra5/Grik2/Kcnip3/Htr7/Ncam1/Tacr1/Bcl2/Nr4a2/Penk/Calca/Npas2/Grm7/Bdnf/Htr1a/Thbs1/Ankfn1/Slc1a1/Usp46/Hdac5
MF	GO:0070325	lipoprotein particle receptor binding	30	0.6871235915449654	2.2312501012205717	5.895755419950112e-6	0.0024523239517824074	0.0022488795604629656	160	tags=20%, list=1%, signal=20%	Apoa2/Apoa1/Apoc3/Apob/Reln/Apoa5
BP	GO:0019934	cGMP-mediated signaling	28	0.6996940864533931	2.2384715772739616	1.1680220336999492e-5	0.004195853696513954	0.0038477663646048566	1859	tags=46%, list=11%, signal=42%	Htr2c/Pde9a/Pde11a/Cd36/Nppc/Pde2a/Gucy2e/Gucy2f/Adnp/Pde10a/Prkg1/Pde3a/Thbs1
MF	GO:0008188	neuropeptide receptor activity	32	0.6690594124342889	2.1986173962950177	1.3203765686242133e-5	0.0043478900090988155	0.003987189769727065	2197	tags=47%, list=13%, signal=41%	Qrfpr/Sstr4/Npy2r/Ntsr1/Kiss1r/Tacr3/Sstr1/Tacr1/Sstr5/Gpr83/Prokr2/Gpr139/Npsr1/Npbwr1/Nmbr
MF	GO:0004867	serine-type endopeptidase inhibitor activity	72	0.5278545813287716	2.0047361712577954	1.4532449627230055e-5	0.004379568624829954	0.0040162403327123255	2315	tags=31%, list=13%, signal=27%	Serpina1b/Itih4/Crim1/Serpina1c/Agt/Serpina3k/Serpinf2/Spint2/Ambp/Serpina1d/Serpina1a/Serpinc1/Furin/Hrg/Spink8/Col28a1/Itih1/Mug1/Wfdc18/Serpina3g/Papln/Spink10
BP	GO:0010872	regulation of cholesterol esterification	12	0.8403666289845215	2.12079935510518	1.4962463984614547e-5	0.004379568624829954	0.0040162403327123255	160	tags=33%, list=1%, signal=33%	Apoa2/Apoa1/Agt/Apoa5
BP	GO:0140058	neuron projection arborization	26	0.6938958513215198	2.156176460459498	1.6385755440218136e-5	0.004459032908480379	0.004089112272473133	1893	tags=46%, list=11%, signal=41%	Wnt5a/Nrp1/Ntng1/Pak6/Tpbg/Grip1/Mfsd2a/Sema3a/Chrna7/Ntng2/Map3k13/Nlgn1
BP	GO:0010823	negative regulation of mitochondrion organization	48	-0.582330316013041	-2.118278590468048	1.6824153051824652e-5	0.004459032908480379	0.004089112272473133	4039	tags=46%, list=23%, signal=35%	Adck1/Higd1a/Prelid1/Mul1/Avp/Slc35f6/Clec16a/Akt1/Mpv17l/Gpx1/Bnip3/Oma1/Ier3/Slc25a5/Pink1/Lmna/Ghitm/Nol3/Tigar/Fxn/Tmem14a/Bok
MF	GO:0055102	lipase inhibitor activity	10	0.8648380055287349	2.073189366034672	3.649753320648598e-5	0.007863972410612752	0.007211578554055928	36	tags=40%, list=0%, signal=40%	Apoa2/Apoa1/Apoc1/Apoc3
BP	GO:0034433	steroid esterification	15	0.7849510119140581	2.120010591758012	3.781234361676383e-5	0.007863972410612752	0.007211578554055928	618	tags=33%, list=4%, signal=32%	Apoa2/Apoa1/Agt/Apoa5/Soat1
BP	GO:0034434	sterol esterification	15	0.7849510119140581	2.120010591758012	3.781234361676383e-5	0.007863972410612752	0.007211578554055928	618	tags=33%, list=4%, signal=32%	Apoa2/Apoa1/Agt/Apoa5/Soat1
BP	GO:0034435	cholesterol esterification	15	0.7849510119140581	2.120010591758012	3.781234361676383e-5	0.007863972410612752	0.007211578554055928	618	tags=33%, list=4%, signal=32%	Apoa2/Apoa1/Agt/Apoa5/Soat1
