ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
BP	GO:0010888	negative regulation of lipid storage	15	-0.8108148920899034	-2.234775609293205	1.2925206116740729e-6	5.211818608895066e-4	4.5543114169554826e-4	2005	tags=73%, list=13%, signal=64%	Nr1h3/Nr1h2/Itgav/Ttc39b/Abhd5/Nfkbia/Ppard/Ptpn2/Osbpl8/Pparg/Itgb3
CC	GO:0098563	intrinsic component of synaptic vesicle membrane	63	0.5213879118451211	2.091532213227309	2.2124364827140693e-6	7.82123990132816e-4	6.834536051690855e-4	3534	tags=54%, list=24%, signal=41%	Tmem163/Ptprn2/Rab3c/Wfs1/Rab3b/Syp/Synpr/Syt9/Sv2b/Cplx3/Rab3a/Oprk1/Scamp5/Rab5a/Vamp2/Scamp1/Rab2a/Slc18a3/Atp6v1g2/Syngr1/Atp6v0a1/Rab4a/Stx12/Sv2a/Slc6a17/Slc17a7/Rab4b/Syt1/Stx7/Slc30a3/Syn1/Rab26/Gabra2/Rab27b
BP	GO:0070373	negative regulation of ERK1 and ERK2 cascade	70	-0.533989460429843	-2.076700627342314	4.1054076831700306e-6	9.539431832713929e-4	8.33596611226044e-4	2532	tags=37%, list=17%, signal=31%	Rapgef1/Spred3/Errfi1/Dusp10/Ankrd26/Spry1/Ezr/Dmd/Ephb2/Camk2n1/Arrb1/Dusp3/Synj2bp/Dab2ip/Spred1/Ace2/Ptpn2/Xbp1/Ptpn1/Spry2/Dusp4/Atf3/Spry4/Dusp1/Klf4/Dusp6
BP	GO:0002088	lens development in camera-type eye	65	-0.5396269536735966	-2.059913883007449	4.203515161965011e-6	9.539431832713929e-4	8.33596611226044e-4	2821	tags=45%, list=19%, signal=36%	Ski/Tgfb1/Med1/Spred3/Ctns/Frs2/Spry1/Tgfbr2/Pou2f1/Gja1/Sox2/Tgfbr1/Lctl/Pax6/Skil/Pds5a/Spred1/Hipk1/Fgfr2/Bcar3/Crybg3/Cryab/Prox1/Fat1/Zeb2/Spry2/Epha2/Bfsp2/Hipk2
CC	GO:0016469	proton-transporting two-sector ATPase complex	37	0.5959514973185598	2.178313228099803	1.4963739675085654e-5	0.0020752490079021567	0.0018134419017545326	3393	tags=68%, list=23%, signal=52%	Ccdc115/Atp6v1a/Atp6v1b2/Atp6ap2/Atp5g3/Atp6v1c2/Atp6v0e2/Atp6v1c1/Atp6ap1/Atp6v0d1/Atp6v1d/Atp5a1/Atp6v1g2/Atp6v1h/Atp6v0a1/Atp5g2/Atp5l/Atp6v1f/Atp6v1e1/Atp5g1/Atp5o/Atp6v1g1/Atp6v0c/Atp6ap1l/Atp5j2
MF	GO:0008188	neuropeptide receptor activity	20	0.709716728531233	2.1845147537941614	2.6000271330260626e-5	0.0032452671998720304	0.0028358541554426376	2245	tags=70%, list=15%, signal=60%	Qrfpr/Tacr1/Gpr83/Npy2r/Sstr1/Ntsr1/Npsr1/Tacr3/Sstr5/Nmbr/Sstr3/Npbwr1/Kiss1r/Prokr2
CC	GO:0071011	precatalytic spliceosome	50	0.525873822356316	2.0397348975420546	3.502500794910096e-5	0.004035419762012571	0.00352632347238155	5192	tags=68%, list=35%, signal=45%	Cwc27/Rnf113a2/Mfap1b/Prpf31/Zmat2/Eftud2/Snrpd2/Snrpb2/Lsm7/Sf3b5/Lsm2/Sf3b2/Ik/Wbp4/Cwc22/Sf3a3/Sf3b3/Mfap1a/Prpf38a/Snrpe/Magohb/Prpf6/Lsm5/Bud13/Smu1/Lsm3/Lsm8/Snrnp200/Lsm4/Snrpg/Prpf8/Sf3a1/Snip1/Snrpd3
BP	GO:0070471	uterine smooth muscle contraction	10	0.8224709963619915	2.0501352120238336	5.430361548408233e-5	0.0057164600973419535	0.00499528886931358	874	tags=50%, list=6%, signal=47%	Oxtr/Tacr1/Adra2a/Agt/Tacr3
CC	GO:0071005	U2-type precatalytic spliceosome	46	0.5348185477663878	2.025871574965451	5.451834165970111e-5	0.0057164600973419535	0.00499528886931358	5192	tags=70%, list=35%, signal=46%	Cwc27/Rnf113a2/Mfap1b/Prpf31/Zmat2/Eftud2/Snrpd2/Snrpb2/Lsm7/Sf3b5/Lsm2/Sf3b2/Ik/Wbp4/Cwc22/Sf3a3/Sf3b3/Mfap1a/Prpf38a/Magohb/Prpf6/Lsm5/Bud13/Smu1/Lsm3/Lsm8/Snrnp200/Lsm4/Prpf8/Sf3a1/Snip1/Snrpd3
BP	GO:0046717	acid secretion	34	0.5835628822902394	2.10115172367562	5.8441559596663826e-5	0.005914443781343452	0.0051682955336053915	2247	tags=44%, list=15%, signal=38%	Oxtr/Htr2c/Ptger3/Htr1a/Trh/Oprl1/Grik1/Snx10/Ntsr1/Htr6/Slc9a4/Kcnq1/Abcb4/Trpc4/Sv2a
